Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
324.00,14264.2,14294.25,14201.67,14294.19,36.86,526218.43,14276.67
325.00,14262.72,14294.25,14241.98,14294.22,25.16,359240,14277.27
326.00,14294.22,14329.98,14259.02,14329.96,41.24,590566.82,14319.49
327.00,14329.97,14329.98,14265.26,14290.04,35.71,510911.49,14306.75
328.00,14290.04,14329.98,14280,14300.88,17.7,253290.63,14310.35
329.00,14290.36,14317.25,14277.44,14287.01,26.16,374011.55,14297.16
330.00,14287.01,14316.07,14230.01,14299.95,37.84,540440.31,14282.76
331.00,14248.29,14249.83,14157.66,14239.72,46.96,666666.09,14196.68
332.00,14223.24,14328.51,14202.95,14253.68,228.39,3264593.66,14293.92
333.00,14268,14323,14253.71,14255,36.16,516751.3,14288.9
334.00,14273.56,14320.28,14160.01,14179.88,43.99,625810.63,14224.65
335.00,14181.28,14214.44,14064.2,14070.55,26.33,372292.88,14141.59
336.00,14070.55,14176.13,14044.4,14092.56,70.46,993946.52,14106.18
337.00,14106.87,14106.98,14031,14102.8,57.39,807885.05,14077.8
338.00,14089.98,14160,14061.01,14158.69,50.42,711267.51,14106.2
339.00,14075.26,14140,14058.83,14131.07,21.33,300720.06,14096.33
340.00,14131.06,14139,14058.82,14103.61,59.71,841554.64,14092.94
341.00,14139,14175.07,14103.57,14166.96,15.38,217319.85,14133.45
342.00,14139.01,14200,14130.2,14176.99,29.92,423726.65,14162.06
343.00,14176.99,14239.74,14130.1,14201.72,23.87,338259,14173.51
344.00,14201.72,14261.15,14191,14222.87,50.35,715720.14,14214.54
345.00,14222.87,14373.29,14222.86,14301.35,93.06,1332865,14322.28
346.00,14300.06,14311.3,14220.02,14230.72,27.68,395202.64,14275.68
347.00,14240.01,14325,14240.01,14325,20.54,293556.92,14289.02
348.00,14331.42,14400.73,14303,14314.2,71.49,1026546.51,14359.86
349.00,14314.2,14349.82,14211.61,14266.66,34.39,490342.61,14259.89
350.00,14237.96,14266.69,14193.21,14238.83,96.77,1374908.95,14208.37
351.00,14198.24,14238.92,14150,14178.4,43.34,614425.97,14177.34
352.00,14150.03,14211.01,14130.65,14189.02,39.13,554366.28,14168.08
353.00,14188.99,14188.99,14100,14123.96,40.32,569935.25,14133.56
354.00,14123.96,14176.62,14084.68,14150.97,41.47,585602.16,14120.56
355.00,14135.84,14151,14087.76,14151,23.26,328045.83,14106.16
356.00,14151,14246.96,14111.08,14184.67,53.09,752395.79,14171.59
357.00,14199.79,14199.79,14053.34,14058.01,128.36,1810483.8,14104.61
